 PARM = MNET;SLAT;SLON;SELV;TMPF;SKNT;DRCT;GUST;PMSL;ALTI;DWPF;RELH;WTHR;P24I


    STN  YYMMDD/HHMM      MNET     SLAT     SLON     SELV     TMPF     SKNT     DRCT     GUST     PMSL     ALTI     DWPF     RELH     WTHR     P24I     
  ABAUT  20120201/1900      8.00    37.84  -109.46  3453.00    19.33    10.01   207.00    15.74 -9999.00 -9999.00     3.65    49.74 -9999.00 -9999.00
  BULLF  20120201/1815      8.00    37.52  -110.73  1128.00    41.00     1.62   168.80     2.86 -9999.00 -9999.00   -90.26     0.07 -9999.00 -9999.00
  BULLF  20120201/1830      8.00    37.52  -110.73  1128.00    41.55     1.23   151.10     2.70 -9999.00 -9999.00   -89.99     0.07 -9999.00 -9999.00
  BULLF  20120201/1845      8.00    37.52  -110.73  1128.00    41.96     1.88   161.00     5.10 -9999.00 -9999.00   -89.79     0.07 -9999.00 -9999.00
  BULLF  20120201/1900      8.00    37.52  -110.73  1128.00    41.21     2.15   222.20     3.39 -9999.00 -9999.00   -90.15     0.07 -9999.00 -9999.00
    CRN  20120201/1815      8.00    38.29  -111.26  1800.00    38.95     2.32   131.10     6.36 -9999.00 -9999.00    16.55    39.74 -9999.00 -9999.00
    CRN  20120201/1830      8.00    38.29  -111.26  1800.00    39.71     2.74   128.60     6.82 -9999.00 -9999.00    16.93    39.21 -9999.00 -9999.00
    CRN  20120201/1845      8.00    38.29  -111.26  1800.00    39.45     3.42   122.50     7.32 -9999.00 -9999.00    16.93    39.62 -9999.00 -9999.00
    CRN  20120201/1900      8.00    38.29  -111.26  1800.00    39.82     3.08   117.00     6.55 -9999.00 -9999.00    17.48    39.99 -9999.00 -9999.00
   FARM  20120201/1900      8.00    41.00  -111.89  1433.00    39.90     5.03   344.20     8.04 -9999.00 -9999.00    27.51    60.87 -9999.00 -9999.00
    FWP  20120201/1845      8.00    40.66  -112.20  2797.00    31.10     4.40   211.80    10.21 -9999.00 -9999.00    13.95    48.47 -9999.00 -9999.00
    FWP  20120201/1900      8.00    40.66  -112.20  2797.00    31.86     4.52   207.90    11.89 -9999.00 -9999.00    13.75    46.59 -9999.00 -9999.00
    HOL  20120201/1845      8.00    40.68  -111.83  1402.00    44.91     1.90   254.40     7.05 -9999.00 -9999.00    28.10    51.44 -9999.00 -9999.00
    NOB  20120201/1845      8.00    41.32  -111.94  1561.00    36.40     3.73   148.80     6.97 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
    NOB  20120201/1900      8.00    41.32  -111.94  1561.00    38.28     1.17   149.00     2.82 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
    PRP  20120201/1900      8.00    41.26  -112.44  2111.00    34.18     9.40   185.10    13.63 -9999.00 -9999.00    23.86    65.55 -9999.00 -9999.00
    SBE  20120201/1900      8.00    41.22  -111.86  1925.00    33.29     3.01    74.20     8.80 -9999.00 -9999.00    23.59    67.15 -9999.00 -9999.00
  SLCBY  20120201/1848      8.00    40.77  -111.96  1286.00    43.70     1.74   135.00     0.00 -9999.00 -9999.00    20.38    39.00 -9999.00 -9999.00
  SLCBY  20120201/1849      8.00    40.77  -111.96  1286.00    43.88     1.74   120.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1850      8.00    40.77  -111.96  1286.00    43.88     2.61   106.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1851      8.00    40.77  -111.96  1286.00    43.88     2.61   110.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1852      8.00    40.77  -111.96  1286.00    43.88     2.61   114.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1853      8.00    40.77  -111.96  1286.00    43.88     2.61   128.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1854      8.00    40.77  -111.96  1286.00    43.88     3.48   129.00     0.00 -9999.00 -9999.00    20.55    39.00 -9999.00 -9999.00
  SLCBY  20120201/1855      8.00    40.77  -111.96  1286.00    44.06     3.48   110.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1856      8.00    40.77  -111.96  1286.00    44.06     3.48   104.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1857      8.00    40.77  -111.96  1286.00    44.06     2.61    98.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1858      8.00    40.77  -111.96  1286.00    44.06     2.61   102.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1859      8.00    40.77  -111.96  1286.00    44.06     1.74    90.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1900      8.00    40.77  -111.96  1286.00    44.06     0.00 -9999.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1901      8.00    40.77  -111.96  1286.00    44.06     2.61   320.00     0.00 -9999.00 -9999.00    20.71    39.00 -9999.00 -9999.00
  SLCBY  20120201/1902      8.00    40.77  -111.96  1286.00    44.06     4.34   299.00     0.00 -9999.00 -9999.00    21.30    40.00 -9999.00 -9999.00
  SLCNW  20120201/1849      8.00    40.82  -112.00  1304.00 -9999.00     1.95    14.30     3.24 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1850      8.00    40.82  -112.00  1304.00 -9999.00     3.31   356.40     4.65 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1851      8.00    40.82  -112.00  1304.00 -9999.00     4.44    14.15     5.18 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1852      8.00    40.82  -112.00  1304.00 -9999.00     5.00    10.79     6.55 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1853      8.00    40.82  -112.00  1304.00 -9999.00     3.72    35.55     4.11 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1854      8.00    40.82  -112.00  1304.00 -9999.00     2.60    61.38     3.43 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1855      8.00    40.82  -112.00  1304.00 -9999.00     2.92    55.09     3.58 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1856      8.00    40.82  -112.00  1304.00 -9999.00     2.54    72.80     2.93 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1857      8.00    40.82  -112.00  1304.00 -9999.00     2.03    47.17     2.63 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1858      8.00    40.82  -112.00  1304.00 -9999.00     0.79    57.20     1.60 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1859      8.00    40.82  -112.00  1304.00 -9999.00     0.33    54.60     0.61 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1900      8.00    40.82  -112.00  1304.00 -9999.00     1.04   355.40     1.37 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1901      8.00    40.82  -112.00  1304.00 -9999.00     0.89   327.90     1.49 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1902      8.00    40.82  -112.00  1304.00 -9999.00     0.62    22.82     0.84 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLCNW  20120201/1903      8.00    40.82  -112.00  1304.00 -9999.00     0.27    63.91     0.53 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
  SLDMT  20120201/1900      8.00    43.48  -114.91  2905.00    19.28     7.99   206.80    12.69 -9999.00 -9999.00    18.35    96.10 -9999.00 -9999.00
    SNC  20120201/1900      8.00    40.66  -111.51  2089.00    39.52     3.04   118.00 -9999.00 -9999.00 -9999.00    19.96    45.01 -9999.00 -9999.00
  SNFEC  20120201/1845      8.00    41.36  -111.90  1737.00    31.71     0.66   331.19     2.02 -9999.00 -9999.00    17.83    56.00 -9999.00 -9999.00
    SNI  20120201/1850      8.00    41.20  -111.86  2256.00    36.58     9.15   219.00    13.39 -9999.00 -9999.00    17.32    45.09 -9999.00 -9999.00
    SNI  20120201/1855      8.00    41.20  -111.86  2256.00    36.10     8.08   222.60    11.84 -9999.00 -9999.00    18.46    48.27 -9999.00 -9999.00
    SNI  20120201/1900      8.00    41.20  -111.86  2256.00    35.74     6.17   189.90     9.35 -9999.00 -9999.00    17.61    47.20 -9999.00 -9999.00
    SNZ  20120201/1840      8.00    40.88  -111.87  1451.00    40.17     1.96    22.99     3.75 -9999.00 -9999.00    32.02    72.40 -9999.00 -9999.00
    SNZ  20120201/1845      8.00    40.88  -111.87  1451.00    40.17     1.33    19.01     2.38 -9999.00 -9999.00    32.52    73.90 -9999.00 -9999.00
    SNZ  20120201/1850      8.00    40.88  -111.87  1451.00    40.17     1.35    15.75     2.04 -9999.00 -9999.00    32.69    74.40 -9999.00 -9999.00
    SVB  20120201/1815      8.00    43.66  -114.40  2746.00    23.45    12.16   195.30    15.06 -9999.00    29.87    21.65    92.70 -9999.00 -9999.00
    SVB  20120201/1830      8.00    43.66  -114.40  2746.00    23.93    13.26   184.30    16.51 -9999.00    29.87    21.98    92.10 -9999.00 -9999.00
    SVB  20120201/1845      8.00    43.66  -114.40  2746.00    22.62    12.40   164.00    15.35 -9999.00    29.87    20.91    93.00 -9999.00 -9999.00
    SVB  20120201/1900      8.00    43.66  -114.40  2746.00    22.38    10.63   156.80    15.06 -9999.00    29.87    20.97    94.20 -9999.00 -9999.00
   TRJO  20120201/1845      8.00    40.56  -112.06  1585.00    41.85     9.68   167.30    16.87 -9999.00 -9999.00    18.75    39.05 -9999.00 -9999.00
    ZNP  20120201/1815      8.00    37.23  -112.87  1750.00    44.17     3.08    80.50     6.44 -9999.00 -9999.00    18.51    35.35 -9999.00 -9999.00
    ZNP  20120201/1830      8.00    37.23  -112.87  1750.00    43.85     3.73    77.70     6.78 -9999.00 -9999.00    18.73    36.13 -9999.00 -9999.00
    ZNP  20120201/1845      8.00    37.23  -112.87  1750.00    44.70     3.42    81.10     6.63 -9999.00 -9999.00    19.14    35.59 -9999.00 -9999.00
    ZNP  20120201/1900      8.00    37.23  -112.87  1750.00    45.66     2.54    89.20     5.52 -9999.00 -9999.00    19.63    35.05 -9999.00 -9999.00
   BGBW  20120201/1850      1.00    61.16   -45.43    34.00    24.80     6.00    50.00 -9999.00 -9999.00    29.56     8.60    49.48 -9999.00 -9999.00
   BGGH  20120201/1850      1.00    64.19   -51.68    86.00    28.40    11.00    70.00 -9999.00 -9999.00    29.59    19.40    68.56 -9999.00 -9999.00
   BGJN  20120201/1850      1.00    69.24   -51.06    25.00    21.20     8.00   100.00 -9999.00 -9999.00    29.65     5.00    48.87 -9999.00 -9999.00
   BGSF  20120201/1850      1.00    67.02   -50.69    53.00     6.80     5.00    70.00 -9999.00 -9999.00    29.68     1.40    77.92 -9999.00 -9999.00
   BGTL  20120201/1855      1.00    76.53   -68.75    77.00   -18.04    10.00    90.00 -9999.00  1010.40    29.79   -25.06    69.06 -9999.00 -9999.00
